1986-10-31,134.54
1986-11-03,135.03
1986-11-04,136.3
1986-11-05,136.15
1986-11-06,136.66
1986-11-07,137.51
1986-11-10,137.17
1986-11-11,135.98
1986-11-12,137.12
1986-11-13,136.3
1986-11-14,135.07
1986-11-17,131.74
1986-11-18,131.15
1986-11-19,132.04
1986-11-20,132.36
1986-11-21,129.81
1986-11-24,128.73
1986-11-25,128.21
1986-11-26,129.12
1986-11-27,129.6
1986-11-28,128
1986-12-01,125.23
1986-12-02,124.95
1986-12-03,127.46
1986-12-04,126.45
1986-12-05,125.28
1986-12-08,123.4
1986-12-09,123.84
1986-12-10,123.21
1986-12-11,125.3
1986-12-12,127.25
1986-12-15,125.48
1986-12-16,124.99
1986-12-17,125.58
1986-12-18,125.62
1986-12-19,126.22
1986-12-22,125.5
1986-12-23,125.01
1986-12-29,125
1986-12-30,126.18
1987-01-02,127.18
1987-01-05,127.99
1987-01-07,126.01
1987-01-08,123.79
1987-01-09,120.86
1987-01-12,117.01
1987-01-13,114.05
1987-01-14,110.24
1987-01-15,114.98
1987-01-16,113.35
1987-01-19,114.98
1987-01-20,116.67
1987-01-21,116.39
1987-01-22,113.1
1987-01-23,113.65
1987-01-26,112.29
1987-01-27,109.92
1987-01-28,107.52
1987-01-29,109.15
1987-01-30,111.13
1987-02-02,113.78
1987-02-03,116.96
1987-02-04,116.04
1987-02-05,117.36
1987-02-06,116.97
1987-02-09,116.02
1987-02-10,116.14
1987-02-11,117.03
1987-02-12,118.15
1987-02-13,117.58
1987-02-16,117.6
1987-02-17,118.78
1987-02-18,119.53
1987-02-19,121.13
1987-02-20,122.51
1987-02-23,123.95
1987-02-24,122.98
1987-02-25,123.8
1987-02-26,125.79
1987-02-27,127.14
1987-03-02,128
1987-03-03,127.77
1987-03-04,128.65
1987-03-05,129.56
1987-03-06,129.25
1987-03-09,129.81
1987-03-10,130.93
1987-03-11,129.94
1987-03-12,128.45
1987-03-13,129.46
1987-03-16,129.76
1987-03-17,129.79
1987-03-18,131.54
1987-03-19,131.46
1987-03-20,130.82
1987-03-23,130.84
1987-03-24,133.2
1987-03-25,134.18
1987-03-26,133.56
1987-03-27,134.41
1987-03-30,132.79
1987-03-31,131.25
1987-04-01,130.29
1987-04-02,129.94
1987-04-03,131.59
1987-04-06,134.48
1987-04-07,135.18
1987-04-08,135.16
1987-04-09,135.92
1987-04-10,134.05
1987-04-13,133.24
1987-04-14,132.69
1987-04-15,135.53
1987-04-16,137.48
1987-04-21,136.99
1987-04-22,137.9
1987-04-23,139.52
1987-04-24,140.97
1987-04-27,139.03
1987-04-28,138.86
1987-04-29,139.27
1987-04-30,139.67
1987-05-04,139.01
1987-05-05,139.89
1987-05-06,141.39
1987-05-07,140.43
1987-05-08,140.04
1987-05-11,138.44
1987-05-12,135.67
1987-05-13,134.2
1987-05-14,133.9
1987-05-15,132.99
1987-05-18,128.42
1987-05-19,129.89
1987-05-20,127.07
1987-05-21,130.1
1987-05-22,131.47
1987-05-25,132.31
1987-05-26,132.26
1987-05-27,132.7
1987-05-29,132.04
1987-06-01,131.78
1987-06-02,131.63
1987-06-03,130.85
1987-06-04,132.45
1987-06-05,132.53
1987-06-09,133.63
1987-06-10,134.13
1987-06-11,133.8
1987-06-12,134.62
1987-06-15,135.52
1987-06-16,135.73
1987-06-17,136.66
1987-06-18,136.43
1987-06-22,135.34
1987-06-23,136.51
1987-06-24,136.15
1987-06-25,135.33
1987-06-26,135.61
1987-06-29,135.21
1987-06-30,134.73
1987-07-01,134.08
