2009,10,30,944.67,5.342566573,B
2010,5,31,980.63,-6.9505066991,B
2010,6,30,1005.93,2.5799740983,B
2010,7,30,1047.26,4.1086357898,B
2010,8,31,1011.7,-3.3955273762,B
2010,9,30,1087.71,7.5130967678,B
2010,10,29,1089.32,0.1480173943,B
2011,5,31,1151.36,-0.9872381411,B
2011,6,30,1115.23,-3.1380280712,B
2011,7,29,1065.97,-4.4170260843,B
2011,8,31,954.63,-10.4449468559,B
2011,9,30,910.17,-4.6573017818,B
2011,10,31,990.44,8.8192315721,B
2012,5,31,975.98,-7.8933957456,B
2012,6,29,1019.06,4.4140248776,B
2012,7,31,1068.16,4.8181657606,B
2012,8,31,1043.93,-2.2683867585,B
2012,9,28,1072.45,2.7319839453,B
2012,10,31,1052.11,-1.8965919157,B
2013,5,31,1214.77,1.316107724,B
2013,6,28,1151,-5.2495534134,B
2013,7,31,1234.07,7.2172024327,B
2013,8,30,1214.35,-1.5979644591,B
2013,9,30,1259.6,3.7262733149,B
2013,10,31,1283.52,1.8990155605,B
2014,5,30,1402.08,2.7624066433,B
2014,6,30,1376.81,-1.8023222641,B
2014,7,31,1379.87,0.2222528889,B
2014,8,29,1388.89,0.6536847674,B
2014,9,30,1403,1.0159191873,B
2014,10,31,1412.84,0.7013542409,B
2015,5,29,1644.99,1.0411292106,B
2015,6,30,1541.66,-6.281497152,B
2015,7,31,1615.64,4.7987234539,B
2015,8,31,1501.07,-7.0913074695,B
2015,9,30,1416.89,-5.6079996269,B
2015,10,30,1499.23,5.8113191567,B
1986,11,28,128,-4.8610078787,A
1986,12,30,126.18,-1.421875,A
1987,1,30,111.13,-11.927405294,A
1987,2,27,127.14,14.4065508863,A
1987,3,31,131.25,3.2326569136,A
1987,4,30,139.67,6.4152380952,A
1987,11,30,102.3,-16.5374887819,A
1987,12,30,105.15,2.7859237537,A
1988,1,29,119.77,13.9039467427,A
1988,2,29,122.52,2.2960674626,A
1988,3,31,126.48,3.2321253673,A
1988,4,29,130.61,3.2653383934,A
1988,11,30,149.08,0.7229241267,A
1988,12,30,159.63,7.0767373222,A
1989,1,31,171.76,7.5988222765,A
1989,2,28,176.02,2.4802049371,A
1989,3,31,184.31,4.7096920804,A
1989,4,28,184.35,0.0217025663,A
1989,11,30,191.26,-1.9229783088,A
1989,12,29,208.48,9.0034508,A
1990,1,31,209.26,0.3741366078,A
1990,2,28,195.72,-6.4704195737,A
1990,3,30,187.88,-4.0057224607,A
1990,4,30,190.89,1.6020864382,A
1990,11,30,144.89,-6.7991766371,A
1990,12,28,150.33,3.7545724343,A
1991,1,31,168.69,12.2131311116,A
1991,2,28,188.46,11.719722568,A
1991,3,28,193.29,2.5628780643,A
1991,4,30,184.1,-4.7545139428,A
1991,11,29,171.1,-8.0305310686,A
1991,12,30,166.88,-2.4663939217,A
1992,1,31,176,5.4650047939,A
1992,2,28,174.1,-1.0795454545,A
